Type,Acc,Acc_3,Acc_10
SBO,0.131658291457286,0.21608040201005,0.339698492462312
SBO-stemming,0.126633165829146,0.203015075376884,0.336683417085427
KBO,0.131658291457286,0.21608040201005,0.334673366834171
KBO-stemming,0.131658291457286,0.210050251256281,0.325628140703518
