Type,Acc,Acc_3,Acc_10
SBO,0.195979899497487,0.309547738693467,0.421105527638191
SBO-stemming,0.168844221105528,0.283417085427136,0.391959798994975
KBO,0.191959798994975,0.309547738693467,0.417085427135678
KBO-stemming,0.181909547738694,0.298492462311558,0.394974874371859
