Type,Acc,Acc_3,Acc_10
SBO,0.170798898071625,0.258953168044077,0.356749311294766
SBO-stemming,0.161157024793388,0.243801652892562,0.349862258953168
KBO,0.170798898071625,0.258953168044077,0.356749311294766
KBO-stemming,0.174931129476584,0.253443526170799,0.349862258953168
